Date,Actual_Price,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA
2017-11-04,737995.0,424645.434641088,520856.43,347975.96065487294,358495.62485853565
2017-11-05,740741.0,436117.851434223,504108.16,392427.0748850323,590472.1134787905
2017-11-06,702276.0,451038.90460761,524684.73,425986.6096964472,202631.2196445312
2017-11-07,714438.0,707285.7245607215,355759.82,214504.93599955912,599763.1029100474
2017-11-08,745969.0,599897.1796801939,518153.33,425450.31955611537,272206.2593636502
2017-11-09,714358.0,791782.5116379367,543464.95,350074.70835461456,593972.3093332823
2017-11-10,661814.0,682042.8729423573,492195.95,392032.4514816003,330244.57383905235
2017-11-11,63576.0,564134.0279279016,494277.11,391931.3671649075,546028.2478757249
2017-11-12,595007.0,687656.1769008524,599075.82,653754.0159796589,302346.2597330494
2017-11-13,655949.0,549943.4330593046,586124.01,667450.1487327107,542430.7270156505
2017-11-14,663575.0,523103.5045430834,507718.16,425100.32861821615,340042.55770500784
2017-11-15,731554.0,521394.8640877236,514340.93,425310.86729073524,530027.1585571693
2017-11-16,787169.0,523669.91614510183,511456.26,392873.4421360986,354587.77069957263
2017-11-17,770899.0,530752.9872836318,512099.69,392412.6840950447,509781.1752319344
2017-11-18,779015.0,754587.3323397951,536852.61,350871.1529451729,356952.0340845076
2017-11-19,803649.0,824366.2808313097,429005.61,141062.42389133645,503730.4023578847
2017-11-20,820064.0,747389.0403915015,507160.79,362023.9704934861,374100.9113751455
2017-11-21,807126.0,791655.4410402436,517079.13,425441.7954485542,493952.1432054066
2017-11-22,825355.0,803625.5228622318,515169.2,425478.15587022464,380935.03217560647
2017-11-23,803877.0,762707.4217130906,493554.82,392685.4544133022,484067.5943481431
2017-11-24,825369.0,798919.0077943486,498392.32,328611.04067311005,387118.2422333827
2017-11-25,879092.0,842388.4012533046,501285.81,392419.051682075,478684.77552154876
2017-11-26,933055.0,846404.1871109871,493108.84,373695.43257013196,395380.04502044833
2017-11-27,981835.0,888783.6118910621,523407.34,470900.08576535626,472235.5745822275
2017-11-28,100588.0,796776.8576726347,437106.43,162162.77969273416,400037.471770947
2017-11-29,988861.0,898351.0668076543,476499.41,674224.084803554,466736.7554908964
2017-11-30,102336.0,548527.8853945611,480805.9,373144.86520965403,404838.3110365272
2017-12-01,109756.0,619575.6809676477,488364.9,671620.8378666126,462740.3287192323
2017-12-02,110746.0,540723.2565152213,408597.62,148720.91180877195,409335.2900966528
2017-12-03,113232.0,391777.4175370361,151523.03,60519.27161542717,458688.05541581573
2017-12-04,116572.0,192902.18165303924,102845.14,50888.35674318125,412600.78025596717
2017-12-05,119167.0,286882.44522665936,107408.29,54646.22480043636,455358.09418889193
2017-12-06,142915.0,31440.767713833215,118194.38,96504.97026836128,415757.42774656706
2017-12-07,178997.0,187738.62430127052,126383.98,166987.6973995983,452624.0231251585
2017-12-08,165694.0,157597.03717993235,124777.11,168102.72126481554,418448.4774277844
2017-12-09,151782.0,151116.64754473878,96936.77,102921.48808450036,450092.27316444943
2017-12-10,154554.0,167866.57052406238,112177.85,68434.41157031713,420649.7070272134
2017-12-11,169368.0,183857.48110796744,135604.32,172838.28664636333,447993.06488695403
2017-12-12,174154.0,212136.4856831783,130244.17,180118.18572655699,422652.57575616206
2017-12-13,164082.0,191980.46325793787,132013.98,192422.2049302866,446194.80805603333
2017-12-14,16564.0,158602.07779661252,138266.42,186475.02463165743,424340.2504295309
2017-12-15,177069.0,223585.31840461225,139225.3,186306.01884603236,444602.2611669377
2017-12-16,194974.0,229159.3688195257,141586.11,184752.61171339752,425781.0996125533
2017-12-17,191408.0,217774.442026077,102278.05,122516.14473756928,443260.2570181499
2017-12-18,191142.0,223821.78479283792,112389.03,127049.52910082444,427048.76320399344
2017-12-19,177767.0,208374.6793469658,138739.03,184760.50959724857,442098.5583070683
2017-12-20,166246.0,188244.9201468922,134878.66,183958.4061671824,428125.03373579966
2017-12-21,158029.0,240508.23233315372,118153.86,166022.21119734854,441089.2950713459
2017-12-22,138318.0,186526.78573519632,111498.6,181939.51115933576,429054.26346748194
2017-12-23,146992.0,211392.87772904843,136330.94,184571.34731798686,440228.8158828835
2017-12-24,139258.0,196326.27241935075,99381.79,116935.54207918345,429859.83333299623
2017-12-25,140266.0,210917.76567858033,115309.64,110389.5129738987,439483.81933025154
2017-12-26,160998.0,266952.9318072426,131138.57,169850.09484942356,430548.99250000773
2017-12-27,158385.0,294827.3276803939,124113.43,169245.5076902598,438841.0509938187
2017-12-28,146065.0,236485.28429768636,124137.5,173408.30160795277,431144.61197551066
2017-12-29,146562.0,364110.18120204634,118995.85,85684.9705806909,438289.5608705842
2017-12-30,129522.0,279605.43496865337,152239.12,207867.68327064204,431658.27647927694
2017-12-31,141564.0,310666.6882001911,127944.56,124348.32193453006,437812.98904928984
2018-01-01,136572.0,308194.8374988613,135508.55,110808.49818286263,432099.62262123806
2018-01-02,149821.0,307566.2212832843,155490.96,220732.60322330229,437402.58407649316
2018-01-03,15201.0,278351.00977683545,160834.06,208287.5229065638,432480.62303237757
2018-01-04,155992.0,316061.3400758519,158669.2,210579.3491343591,437049.46252190525
2018-01-05,174295.0,311393.82671853044,160976.31,213926.56947923286,432808.7572355961
2018-01-06,17527.0,294737.28864301887,152637.72,195459.19227038897,436744.785013657
2018-01-07,164776.0,329315.4206512473,142208.24,106956.4903375248,433091.2346866654
2018-01-08,151701.0,268449.64727407607,159814.28,205896.05765973075,436482.45467069786
2018-01-09,145954.0,278409.9136634172,139964.97,187032.51452096956,433334.833259547
2018-01-10,149733.0,310664.30988929275,129780.25,189968.17764869606,436256.50287147204
2018-01-11,134058.0,267799.42377970676,143272.46,195492.04384500763,433544.61146338773
2018-01-12,139806.0,281668.1025664785,126830.07,117197.38133259081,436061.7196397513
2018-01-13,143602.0,326453.1973956045,139586.24,191746.78881091066,433725.32350555004
2018-01-14,13772.0,289410.10297128465,107546.85,69771.17772066743,435893.97305510635
2018-01-15,138198.0,310027.67326478,129409.46,113441.89256639544,433881.07189523714
2018-01-16,114905.0,220801.68366664211,118150.95,82017.70669803568,435749.4456461334
2018-01-17,111886.0,103344.59512221106,113684.26,82266.57896073394,434015.2193809117
2018-01-18,114749.0,223643.54913851846,124146.6,97524.10661848389,435624.9047243508
2018-01-19,116074.0,227694.21321497962,123965.91,95632.87237760554,434130.79972350283
2018-01-20,128992.0,240267.97740607068,123134.74,111988.99710879294,435517.628724506
2018-01-21,116001.0,258519.32715854945,102230.95,74646.1373557868,434230.38809086586
2018-01-22,109314.0,233285.46605389664,120458.34,80928.14722276808,435425.19813591824
2018-01-23,108684.0,236022.29874911357,106380.63,85450.10287483926,434316.17689202464
2018-01-24,113594.0,244137.7253877998,106861.47,84886.2190124659,435345.56170093693
2018-01-25,112594.0,242711.9946846802,115111.29,85859.9689473043,434390.09248033835
2018-01-26,111714.0,234709.4598677499,105527.77,87890.97042622813,435276.95695441205
2018-01-27,114407.0,244598.37642031402,117444.51,87065.87635764606,434453.7751420571
2018-01-28,117863.0,249253.51277777826,116246.77,70835.52496031008,435217.84758294775
2018-01-29,112964.0,246823.56906124763,118372.45,83882.89362730921,434508.63795477105
2018-01-30,101063.0,224414.06404237042,110435.42,82220.1994486651,435166.9223304669
2018-01-31,102211.0,115868.90152869117,99138.98,61155.40323033707,434555.906590485
2018-02-01,917054.0,207062.23682324676,112275.23,47982.51671540624,435123.0490883226
2018-02-02,883075.0,179395.23364121222,135197.78,60818.6050307599,434596.6303887439
2018-02-03,917491.0,350035.6368958062,398567.17,297307.7564348152,435085.2492215567
2018-02-04,827701.0,420554.2193344762,369977.26,120704.08057497606,434631.7153039858
2018-02-05,695527.0,581224.5105036325,423711.67,275202.8282511756,435052.68323457724
2018-02-06,7754.0,586207.8966449844,402233.22,276663.2995247367,434661.94311511726
2018-02-07,76213.0,789801.2592688783,527120.23,635091.9521616994,435024.62630940066
2018-02-08,826559.0,652666.0814456264,471518.45,646493.1814881635,434687.98554107983
2018-02-09,873698.0,450832.9036745758,359394.79,284204.3266024455,435000.453698017
2018-02-10,86219.0,252356.76138206472,351745.58,284111.30418186117,434710.42224166356
2018-02-11,812997.0,555764.6833929364,394717.54,309949.23292355536,434979.62803435506
2018-02-12,892657.0,327326.571712414,371355.05,317488.18731560354,434729.7526243735
2018-02-13,859831.0,547843.749596649,418700.22,274082.9727112249,434961.6857614049
2018-02-14,949463.0,738814.4041147565,418250.31,275529.28915887984,434746.4065508456
